benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,college_biology,752,9,0.35613298416137695,7211
MMLU,college_biology,752,8,0.6134567260742188,6962
MMLU,college_biology,752,4,0.620811939239502,7244
MMLU,college_biology,752,1,0.6391324996948242,6851
MMLU,college_biology,752,5,0.6724750995635986,6788
MMLU,college_biology,752,6,0.7927939891815186,6999
MMLU,college_biology,752,0,0.830955982208252,7175
MMLU,college_biology,752,3,0.8684587478637695,7097
MMLU,college_biology,752,7,0.8990449905395508,7327
MMLU,college_biology,752,2,4.518038272857666,6878
MMLU,college_biology,753,1,0.45809388160705566,6974
MMLU,college_biology,753,9,0.3611757755279541,6953
MMLU,college_biology,753,8,0.4873080253601074,6874
MMLU,college_biology,753,0,0.6125006675720215,7044
MMLU,college_biology,753,6,0.6519579887390137,7427
MMLU,college_biology,753,5,0.7421822547912598,6753
MMLU,college_biology,753,4,0.7782077789306641,7259
MMLU,college_biology,753,3,0.8002231121063232,7144
MMLU,college_biology,753,2,0.8967957496643066,6776
MMLU,college_biology,753,7,0.989354133605957,7026
MMLU,college_biology,754,9,0.5017478466033936,7155
MMLU,college_biology,754,8,0.682624101638794,6853
MMLU,college_biology,754,6,0.7327253818511963,7233
MMLU,college_biology,754,5,0.780048131942749,6838
MMLU,college_biology,754,7,0.8449177742004395,6972
MMLU,college_biology,754,1,0.8871481418609619,7015
MMLU,college_biology,754,0,0.9469349384307861,7025
MMLU,college_biology,754,4,0.9370651245117188,7056
MMLU,college_biology,754,2,0.9561481475830078,6763
MMLU,college_biology,754,3,0.9457547664642334,6893
MMLU,college_biology,755,9,0.4654653072357178,6975
MMLU,college_biology,755,8,0.5765736103057861,6451
MMLU,college_biology,755,6,0.6740891933441162,7243
MMLU,college_biology,755,0,0.7160987854003906,7041
MMLU,college_biology,755,1,0.7506043910980225,6833
MMLU,college_biology,755,2,0.826005220413208,6678
MMLU,college_biology,755,7,0.8467097282409668,7562
MMLU,college_biology,755,5,0.9105913639068604,6712
