benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,college_physics,1369,5,1.2960965633392334,6658
MMLU,college_physics,1369,1,1.6026816368103027,6988
MMLU,college_physics,1369,4,1.6961133480072021,7163
MMLU,college_physics,1369,8,1.8996853828430176,7002
MMLU,college_physics,1369,9,1.9883859157562256,6815
MMLU,college_physics,1369,0,2.2213149070739746,7182
MMLU,college_physics,1369,3,2.4255330562591553,7061
MMLU,college_physics,1369,2,2.431969165802002,6822
MMLU,college_physics,1369,6,2.4969890117645264,7289
MMLU,college_physics,1369,7,5.489449501037598,7011
MMLU,college_physics,1370,8,1.0729217529296875,6916
MMLU,college_physics,1370,1,1.2149770259857178,7045
MMLU,college_physics,1370,9,1.1632626056671143,6986
MMLU,college_physics,1370,5,1.3016471862792969,6752
MMLU,college_physics,1370,0,1.6335980892181396,6884
MMLU,college_physics,1370,4,1.571521282196045,7175
MMLU,college_physics,1370,6,1.6954560279846191,7002
MMLU,college_physics,1370,3,1.8630132675170898,6771
MMLU,college_physics,1370,2,2.1478443145751953,6789
MMLU,college_physics,1370,7,4.5427350997924805,6979
MMLU,college_physics,1371,9,0.6325411796569824,7022
MMLU,college_physics,1371,5,0.8484964370727539,6866
MMLU,college_physics,1371,0,1.0914745330810547,7122
MMLU,college_physics,1371,1,1.1021397113800049,6992
MMLU,college_physics,1371,4,1.1953880786895752,7172
MMLU,college_physics,1371,8,1.1403579711914062,7131
MMLU,college_physics,1371,7,1.2247307300567627,6830
MMLU,college_physics,1371,2,1.5664148330688477,6758
MMLU,college_physics,1371,6,1.4056806564331055,7030
MMLU,college_physics,1371,3,1.6712415218353271,6971
MMLU,college_physics,1372,4,0.6803998947143555,7201
MMLU,college_physics,1372,5,1.0313067436218262,6820
MMLU,college_physics,1372,6,1.0999631881713867,6874
MMLU,college_physics,1372,8,1.1714706420898438,6893
MMLU,college_physics,1372,1,1.184342384338379,6803
MMLU,college_physics,1372,2,1.2263967990875244,6803
MMLU,college_physics,1372,0,1.2323193550109863,6943
MMLU,college_physics,1372,3,1.2982792854309082,6777
MMLU,college_physics,1372,9,1.2959542274475098,7013
MMLU,college_physics,1372,7,1.6286931037902832,7014
MMLU,college_physics,1373,4,0.824169397354126,6992
MMLU,college_physics,1373,9,0.807671308517456,7060
