benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,international_law,6443,8,1.2844493389129639,7359
MMLU,international_law,6443,6,1.295564889907837,7058
MMLU,international_law,6443,9,1.6189970970153809,7026
MMLU,international_law,6443,1,1.8132150173187256,6910
MMLU,international_law,6443,5,2.047884225845337,6961
MMLU,international_law,6443,4,2.1009459495544434,7297
MMLU,international_law,6443,7,2.1072497367858887,7262
MMLU,international_law,6443,3,2.363729953765869,7193
MMLU,international_law,6443,0,2.4568424224853516,7237
MMLU,international_law,6443,2,2.5298736095428467,7213
MMLU,international_law,6444,1,1.1634914875030518,6969
MMLU,international_law,6444,9,1.1806039810180664,7100
MMLU,international_law,6444,4,1.1994504928588867,7194
MMLU,international_law,6444,5,1.5547311305999756,6522
MMLU,international_law,6444,7,1.6399002075195312,6879
MMLU,international_law,6444,6,1.8109033107757568,7348
MMLU,international_law,6444,8,1.838834524154663,6963
MMLU,international_law,6444,3,1.945340633392334,7414
MMLU,international_law,6444,2,1.9789564609527588,7138
MMLU,international_law,6444,0,2.625910997390747,7234
MMLU,international_law,6445,4,0.8164999485015869,7100
MMLU,international_law,6445,9,0.8542435169219971,7302
MMLU,international_law,6445,1,0.902214527130127,7326
MMLU,international_law,6445,6,0.9385075569152832,7489
MMLU,international_law,6445,5,1.0881845951080322,6757
MMLU,international_law,6445,7,1.1373023986816406,7607
MMLU,international_law,6445,2,1.1766445636749268,7218
MMLU,international_law,6445,0,1.1890168190002441,7861
MMLU,international_law,6445,8,1.2521636486053467,7186
MMLU,international_law,6445,3,1.524444580078125,7297
MMLU,international_law,6446,1,0.6532280445098877,7163
MMLU,international_law,6446,8,0.715644121170044,6895
MMLU,international_law,6446,9,0.7185614109039307,7171
MMLU,international_law,6446,5,0.7638514041900635,6960
MMLU,international_law,6446,6,0.947270393371582,7173
MMLU,international_law,6446,4,1.177342414855957,7010
MMLU,international_law,6446,7,1.0363481044769287,7032
MMLU,international_law,6446,2,1.2512123584747314,7102
MMLU,international_law,6446,0,1.3013629913330078,7187
MMLU,international_law,6446,3,1.3660368919372559,7269
MMLU,international_law,6447,8,1.0569236278533936,6938
MMLU,international_law,6447,1,1.1822221279144287,6892
MMLU,international_law,6447,6,1.1091976165771484,6954
MMLU,international_law,6447,5,1.2252271175384521,6940
MMLU,international_law,6447,4,1.3519997596740723,7141
MMLU,international_law,6447,2,1.3913123607635498,6830
MMLU,international_law,6447,0,1.4210543632507324,7431
MMLU,international_law,6447,7,1.5154883861541748,7222
MMLU,international_law,6447,3,1.5488817691802979,7209
MMLU,international_law,6447,9,1.8495562076568604,7023
MMLU,international_law,6448,5,0.839148998260498,6587
MMLU,international_law,6448,1,0.8972997665405273,7624
MMLU,international_law,6448,8,0.8795406818389893,7083
MMLU,international_law,6448,6,1.036041498184204,7285
MMLU,international_law,6448,3,1.048858880996704,7297
MMLU,international_law,6448,4,1.143765926361084,6964
MMLU,international_law,6448,7,1.186896562576294,7563
MMLU,international_law,6448,0,1.235426664352417,7391
MMLU,international_law,6448,9,1.1575980186462402,7338
MMLU,international_law,6448,2,1.3254542350769043,7071
MMLU,international_law,6449,3,0.8145675659179688,7257
MMLU,international_law,6449,9,0.9832041263580322,7392
MMLU,international_law,6449,8,1.0135419368743896,7083
MMLU,international_law,6449,7,1.0192911624908447,7218
MMLU,international_law,6449,6,1.0861878395080566,6991
MMLU,international_law,6449,5,1.0870726108551025,6800
MMLU,international_law,6449,0,1.2302846908569336,7172
MMLU,international_law,6449,4,1.3217518329620361,7073
MMLU,international_law,6449,1,1.5274085998535156,7036
MMLU,international_law,6449,2,1.9123809337615967,6695
MMLU,international_law,6450,1,0.6473383903503418,6740
MMLU,international_law,6450,9,0.9826641082763672,7274
MMLU,international_law,6450,8,1.3013217449188232,6884
MMLU,international_law,6450,5,1.3545396327972412,6881
MMLU,international_law,6450,7,1.4442028999328613,7207
MMLU,international_law,6450,0,1.457669973373413,6855
MMLU,international_law,6450,3,1.4638745784759521,7632
MMLU,international_law,6450,6,1.4733614921569824,7058
MMLU,international_law,6450,4,1.6392853260040283,7144
MMLU,international_law,6450,2,1.667602777481079,6964
MMLU,international_law,6451,1,0.38141727447509766,7341
MMLU,international_law,6451,8,0.4026210308074951,6978
MMLU,international_law,6451,5,0.4807553291320801,7016
MMLU,international_law,6451,2,0.5476579666137695,6912
MMLU,international_law,6451,0,0.6696832180023193,7678
MMLU,international_law,6451,6,0.8197789192199707,7328
MMLU,international_law,6451,4,0.9542708396911621,7259
MMLU,international_law,6451,9,1.0292482376098633,7372
MMLU,international_law,6451,3,1.2035112380981445,7292
MMLU,international_law,6451,7,1.226057529449463,7701
MMLU,international_law,6452,1,0.4166538715362549,7222
MMLU,international_law,6452,5,0.4573483467102051,6778
MMLU,international_law,6452,8,0.4751708507537842,7161
MMLU,international_law,6452,9,0.526770830154419,7659
MMLU,international_law,6452,2,0.5774962902069092,7283
MMLU,international_law,6452,4,0.6066715717315674,7348
MMLU,international_law,6452,0,0.7322664260864258,7411
MMLU,international_law,6452,6,0.7542006969451904,7188
MMLU,international_law,6452,7,1.0969958305358887,7678
MMLU,international_law,6452,3,1.1212596893310547,7574
MMLU,international_law,6453,1,0.5380899906158447,7425
MMLU,international_law,6453,2,0.681403636932373,7246
MMLU,international_law,6453,8,0.7222292423248291,7369
MMLU,international_law,6453,5,0.7327096462249756,6964
MMLU,international_law,6453,4,0.7469875812530518,7346
MMLU,international_law,6453,7,0.8070816993713379,7063
MMLU,international_law,6453,9,0.8328218460083008,7235
MMLU,international_law,6453,6,0.851118803024292,7219
MMLU,international_law,6453,0,0.888167142868042,7334
MMLU,international_law,6453,3,1.0578815937042236,7040
MMLU,international_law,6454,5,0.349564790725708,6860
MMLU,international_law,6454,1,0.4829750061035156,7315
MMLU,international_law,6454,6,0.571403980255127,7351
MMLU,international_law,6454,4,0.6007752418518066,7368
MMLU,international_law,6454,9,0.6043179035186768,7505
MMLU,international_law,6454,2,0.7951858043670654,6796
MMLU,international_law,6454,8,0.7674195766448975,7337
MMLU,international_law,6454,0,0.8837485313415527,7788
MMLU,international_law,6454,7,0.8522007465362549,7316
MMLU,international_law,6454,3,0.9696686267852783,7585
MMLU,international_law,6455,6,0.41469550132751465,7200
MMLU,international_law,6455,1,0.42603373527526855,7145
MMLU,international_law,6455,9,0.46777892112731934,7454
MMLU,international_law,6455,4,0.5548882484436035,7122
MMLU,international_law,6455,5,0.5351629257202148,6932
MMLU,international_law,6455,8,0.5968818664550781,6945
MMLU,international_law,6455,7,0.6367077827453613,7299
MMLU,international_law,6455,2,0.7193400859832764,6945
MMLU,international_law,6455,3,1.0896379947662354,7065
MMLU,international_law,6455,0,1.0923645496368408,7173
MMLU,international_law,6456,6,0.43456053733825684,6974
MMLU,international_law,6456,1,0.47038793563842773,7109
MMLU,international_law,6456,5,0.4899773597717285,6825
MMLU,international_law,6456,4,0.5088117122650146,7191
MMLU,international_law,6456,9,0.6246073246002197,7326
MMLU,international_law,6456,2,0.7652933597564697,7380
MMLU,international_law,6456,8,0.7179787158966064,6767
MMLU,international_law,6456,7,0.9032111167907715,7471
MMLU,international_law,6456,0,1.2768313884735107,7498
