benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,miscellaneous,7384,0,1.387044906616211,7378
MMLU,miscellaneous,7384,3,1.6247549057006836,7451
MMLU,miscellaneous,7384,5,1.7245333194732666,7181
MMLU,miscellaneous,7384,4,1.7530794143676758,7275
MMLU,miscellaneous,7384,8,1.7748005390167236,6725
MMLU,miscellaneous,7384,1,1.8989622592926025,7159
MMLU,miscellaneous,7384,2,2.0455803871154785,7138
MMLU,miscellaneous,7384,6,2.228935956954956,7241
MMLU,miscellaneous,7384,9,2.2570292949676514,7351
MMLU,miscellaneous,7384,7,2.3599154949188232,7124
MMLU,miscellaneous,7385,8,0.8917582035064697,6976
MMLU,miscellaneous,7385,5,1.0088298320770264,6860
MMLU,miscellaneous,7385,9,1.2043192386627197,7446
MMLU,miscellaneous,7385,1,1.2184672355651855,7066
MMLU,miscellaneous,7385,6,1.462157964706421,7599
MMLU,miscellaneous,7385,4,1.528763771057129,7592
MMLU,miscellaneous,7385,0,1.537663221359253,7552
MMLU,miscellaneous,7385,3,1.7059674263000488,7114
MMLU,miscellaneous,7385,7,1.9798097610473633,7488
MMLU,miscellaneous,7385,2,2.0156002044677734,7244
MMLU,miscellaneous,7386,5,0.7645158767700195,6714
MMLU,miscellaneous,7386,9,1.0109853744506836,7078
MMLU,miscellaneous,7386,1,1.062744379043579,6883
MMLU,miscellaneous,7386,8,1.0317187309265137,6944
MMLU,miscellaneous,7386,6,1.2014491558074951,6842
MMLU,miscellaneous,7386,3,1.20037841796875,6844
MMLU,miscellaneous,7386,0,1.2697484493255615,6857
MMLU,miscellaneous,7386,2,1.422037124633789,6661
MMLU,miscellaneous,7386,4,1.5461268424987793,7017
MMLU,miscellaneous,7386,7,2.2552716732025146,6832
MMLU,miscellaneous,7387,5,0.5624089241027832,6759
MMLU,miscellaneous,7387,1,0.658761739730835,7055
MMLU,miscellaneous,7387,8,0.7037692070007324,6689
MMLU,miscellaneous,7387,9,0.7855722904205322,7225
MMLU,miscellaneous,7387,0,0.9319798946380615,6839
MMLU,miscellaneous,7387,6,0.9440903663635254,6988
MMLU,miscellaneous,7387,4,0.9407587051391602,7031
MMLU,miscellaneous,7387,3,0.9931597709655762,6883
MMLU,miscellaneous,7387,7,1.0543315410614014,7213
MMLU,miscellaneous,7387,2,1.0767791271209717,6833
MMLU,miscellaneous,7388,5,0.7699103355407715,7080
MMLU,miscellaneous,7388,3,0.9287607669830322,7064
MMLU,miscellaneous,7388,4,1.0417320728302002,7114
MMLU,miscellaneous,7388,1,1.145967721939087,7052
MMLU,miscellaneous,7388,9,1.2556071281433105,7049
MMLU,miscellaneous,7388,8,1.2627959251403809,6986
