benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,miscellaneous,7384,0,0.749370813369751,7378
MMLU,miscellaneous,7384,7,0.811253547668457,7123
MMLU,miscellaneous,7385,7,0.5667710304260254,7488
MMLU,miscellaneous,7386,7,0.5078470706939697,6832
MMLU,miscellaneous,7386,3,0.576777458190918,6845
MMLU,miscellaneous,7386,6,0.5934419631958008,6842
MMLU,miscellaneous,7387,8,0.25408172607421875,6690
MMLU,miscellaneous,7387,1,0.2693471908569336,7056
MMLU,miscellaneous,7387,0,0.45903468132019043,6840
MMLU,miscellaneous,7387,7,0.7058086395263672,7213
MMLU,miscellaneous,7388,8,0.2799112796783447,6986
MMLU,miscellaneous,7388,9,0.4229252338409424,7049
MMLU,miscellaneous,7388,3,0.5347213745117188,7064
MMLU,miscellaneous,7388,4,0.5596637725830078,7114
MMLU,miscellaneous,7389,7,0.8756542205810547,7061
MMLU,miscellaneous,7390,8,0.3382680416107178,6958
MMLU,miscellaneous,7391,7,0.575749397277832,7531
MMLU,miscellaneous,7392,7,0.8189985752105713,6869
MMLU,miscellaneous,7393,8,0.23229026794433594,6932
MMLU,miscellaneous,7393,9,0.3966848850250244,7071
MMLU,miscellaneous,7394,7,0.5990993976593018,6913
MMLU,miscellaneous,7395,8,0.38846421241760254,6944
MMLU,miscellaneous,7395,9,0.41646409034729004,6901
MMLU,miscellaneous,7395,6,0.47495365142822266,7145
MMLU,miscellaneous,7395,4,0.5501551628112793,7057
MMLU,miscellaneous,7395,3,0.6103534698486328,7122
MMLU,miscellaneous,7395,0,0.7039427757263184,7247
MMLU,miscellaneous,7396,7,0.7570276260375977,7300
MMLU,miscellaneous,7397,7,0.8571033477783203,7352
MMLU,miscellaneous,7398,8,0.3992035388946533,7011
MMLU,miscellaneous,7398,6,0.402449369430542,7258
MMLU,miscellaneous,7398,9,0.42711353302001953,7027
MMLU,miscellaneous,7398,7,0.8200397491455078,6880
MMLU,miscellaneous,7399,9,0.3314952850341797,6765
MMLU,miscellaneous,7399,1,0.4279146194458008,6947
MMLU,miscellaneous,7399,8,0.45485734939575195,6918
MMLU,miscellaneous,7400,7,0.7964866161346436,6819
MMLU,miscellaneous,7401,8,0.32367944717407227,6753
MMLU,miscellaneous,7401,3,0.5645887851715088,6677
MMLU,miscellaneous,7401,0,0.5756130218505859,6985
MMLU,miscellaneous,7401,7,0.665109395980835,6891
MMLU,miscellaneous,7402,7,0.4895815849304199,6577
MMLU,miscellaneous,7403,9,0.3880772590637207,6978
MMLU,miscellaneous,7403,8,0.4513585567474365,6779
MMLU,miscellaneous,7403,7,0.5013535022735596,6912
MMLU,miscellaneous,7404,7,0.46112871170043945,7144
MMLU,miscellaneous,7405,8,0.42323803901672363,6903
MMLU,miscellaneous,7405,9,0.4856410026550293,7670
MMLU,miscellaneous,7405,7,0.5713403224945068,7017
MMLU,miscellaneous,7405,0,0.7086498737335205,7170
MMLU,miscellaneous,7405,3,0.7143650054931641,7100
MMLU,miscellaneous,7406,8,0.43846726417541504,6387
MMLU,miscellaneous,7406,7,0.5357584953308105,6564
MMLU,miscellaneous,7406,9,0.5085361003875732,6926
MMLU,miscellaneous,7406,0,0.7050800323486328,6891
MMLU,miscellaneous,7407,9,0.40732908248901367,6832
MMLU,miscellaneous,7407,5,0.41892480850219727,6807
MMLU,miscellaneous,7407,8,0.4968397617340088,6637
MMLU,miscellaneous,7408,8,0.4577639102935791,6867
MMLU,miscellaneous,7409,9,0.34291911125183105,6887
MMLU,miscellaneous,7409,8,0.36705803871154785,6503
MMLU,miscellaneous,7410,0,0.5418670177459717,6653
MMLU,miscellaneous,7410,7,0.6745259761810303,6878
MMLU,miscellaneous,7410,8,0.3393089771270752,6749
MMLU,miscellaneous,7411,7,0.6527705192565918,6967
MMLU,miscellaneous,7412,7,0.6536457538604736,6484
MMLU,miscellaneous,7413,3,0.7533948421478271,6838
MMLU,miscellaneous,7413,7,0.8088879585266113,6957
MMLU,miscellaneous,7414,9,0.2622096538543701,6877
MMLU,miscellaneous,7414,8,0.2713644504547119,7062
MMLU,miscellaneous,7414,1,0.3077430725097656,6853
MMLU,miscellaneous,7414,7,0.9133877754211426,6991
MMLU,miscellaneous,7415,8,0.26314711570739746,7171
MMLU,miscellaneous,7415,9,0.2888624668121338,6929
MMLU,miscellaneous,7415,1,0.4195570945739746,6982
MMLU,miscellaneous,7415,0,0.7112605571746826,7020
MMLU,miscellaneous,7416,3,0.547835111618042,7079
MMLU,miscellaneous,7416,0,0.5764439105987549,6794
MMLU,miscellaneous,7416,7,0.7786977291107178,6963
MMLU,miscellaneous,7417,7,0.7522118091583252,6936
MMLU,miscellaneous,7418,9,0.26093530654907227,6896
MMLU,miscellaneous,7418,8,0.2740342617034912,6929
MMLU,miscellaneous,7418,4,0.4830617904663086,6913
MMLU,miscellaneous,7418,3,0.6156463623046875,7070
MMLU,miscellaneous,7419,8,0.24489998817443848,7048
MMLU,miscellaneous,7419,0,0.689265251159668,7367
MMLU,miscellaneous,7419,7,0.8014311790466309,6913
MMLU,miscellaneous,7420,7,0.738109827041626,6432
MMLU,miscellaneous,7421,7,0.9224827289581299,6326
MMLU,miscellaneous,7422,8,0.27690792083740234,6918
MMLU,miscellaneous,7422,9,0.3440232276916504,7327
MMLU,miscellaneous,7422,3,0.6398308277130127,7207
MMLU,miscellaneous,7422,7,0.6472151279449463,7214
MMLU,miscellaneous,7422,0,0.7241275310516357,7245
MMLU,miscellaneous,7423,7,0.4314403533935547,7250
MMLU,miscellaneous,7424,8,0.2714107036590576,6963
MMLU,miscellaneous,7424,6,0.43138694763183594,7353
MMLU,miscellaneous,7424,3,0.7394082546234131,7146
MMLU,miscellaneous,7425,7,0.5142230987548828,6928
MMLU,miscellaneous,7426,7,0.45241880416870117,6572
MMLU,miscellaneous,7427,7,0.502528190612793,6679
MMLU,miscellaneous,7428,8,0.3118124008178711,7070
MMLU,miscellaneous,7428,7,0.5677461624145508,7000
MMLU,miscellaneous,7428,0,0.5787131786346436,6997
MMLU,miscellaneous,7428,3,1.2154877185821533,6879
MMLU,miscellaneous,7429,7,0.5406656265258789,7030
MMLU,miscellaneous,7429,0,0.5770618915557861,7079
MMLU,miscellaneous,7430,8,0.24771380424499512,6880
MMLU,miscellaneous,7430,7,0.47081494331359863,7005
MMLU,miscellaneous,7430,0,0.5413355827331543,7021
MMLU,miscellaneous,7430,9,0.527306318283081,7099
MMLU,miscellaneous,7431,8,0.2610437870025635,7061
MMLU,miscellaneous,7431,3,0.4927635192871094,7049
MMLU,miscellaneous,7431,2,1.0556724071502686,6984
MMLU,miscellaneous,7431,0,0.43686747550964355,7051
MMLU,miscellaneous,7432,7,0.5842223167419434,6873
MMLU,miscellaneous,7433,8,0.3387491703033447,6655
MMLU,miscellaneous,7433,0,0.4673295021057129,6859
MMLU,miscellaneous,7433,7,0.7315053939819336,6693
MMLU,miscellaneous,7434,8,0.2461562156677246,6845
MMLU,miscellaneous,7434,0,0.42998361587524414,7055
MMLU,miscellaneous,7434,7,0.9099185466766357,6856
MMLU,miscellaneous,7435,8,0.23841357231140137,6749
