benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,philosophy,9714,7,0.9798533916473389,7001
MMLU,philosophy,9715,7,0.7008895874023438,6782
MMLU,philosophy,9715,8,0.7148261070251465,6633
MMLU,philosophy,9715,6,0.8178277015686035,7162
MMLU,philosophy,9716,6,0.4923527240753174,7317
MMLU,philosophy,9716,7,0.8398275375366211,6791
MMLU,philosophy,9717,8,0.3849329948425293,6934
MMLU,philosophy,9717,6,0.555201530456543,7039
MMLU,philosophy,9717,7,0.7482349872589111,7110
MMLU,philosophy,9718,7,0.6465165615081787,7549
MMLU,philosophy,9719,7,0.6517868041992188,7278
MMLU,philosophy,9720,7,0.6698744297027588,7188
MMLU,philosophy,9721,7,0.673790454864502,7293
MMLU,philosophy,9722,8,0.3253638744354248,7029
MMLU,philosophy,9722,6,0.5341277122497559,6866
MMLU,philosophy,9722,7,0.8957762718200684,7037
MMLU,philosophy,9723,7,0.4741857051849365,6993
MMLU,philosophy,9724,7,0.6149325370788574,7105
MMLU,philosophy,9725,8,0.42711424827575684,7116
MMLU,philosophy,9725,6,0.553412914276123,7417
MMLU,philosophy,9725,7,0.5899009704589844,7004
MMLU,philosophy,9726,7,0.6134257316589355,6812
MMLU,philosophy,9727,7,0.6345436573028564,7074
MMLU,philosophy,9728,7,1.0936613082885742,7022
MMLU,philosophy,9729,7,0.6418237686157227,7079
MMLU,philosophy,9730,7,0.6368701457977295,7387
MMLU,philosophy,9731,7,0.674602746963501,6934
MMLU,philosophy,9732,8,0.3941013813018799,6881
MMLU,philosophy,9732,6,0.5536282062530518,7012
MMLU,philosophy,9732,7,0.8245899677276611,6968
MMLU,philosophy,9733,8,0.36184000968933105,7065
MMLU,philosophy,9733,6,0.5277535915374756,7345
MMLU,philosophy,9733,7,0.7760214805603027,7129
MMLU,philosophy,9734,7,0.8319053649902344,6977
MMLU,philosophy,9735,7,0.4979565143585205,7230
MMLU,philosophy,9735,6,0.5512275695800781,7168
MMLU,philosophy,9736,7,0.5014336109161377,7265
MMLU,philosophy,9736,8,0.549626350402832,7162
MMLU,philosophy,9736,0,0.806530237197876,7095
MMLU,philosophy,9737,7,0.8099973201751709,7354
MMLU,philosophy,9738,7,0.5995867252349854,7115
