benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,prehistory,10025,3,0.9874982833862305,7119
MMLU,prehistory,10025,7,1.039745569229126,6980
MMLU,prehistory,10026,8,0.533968448638916,6679
MMLU,prehistory,10026,6,0.7876403331756592,6994
MMLU,prehistory,10026,2,0.8646883964538574,6616
MMLU,prehistory,10026,3,0.9554779529571533,6762
MMLU,prehistory,10026,7,1.2820823192596436,6880
MMLU,prehistory,10027,8,0.5795369148254395,7616
MMLU,prehistory,10027,6,0.6708223819732666,7008
MMLU,prehistory,10027,3,0.6983516216278076,7235
MMLU,prehistory,10027,7,0.9064457416534424,7212
MMLU,prehistory,10028,9,0.4980652332305908,7124
MMLU,prehistory,10028,8,0.5975813865661621,6766
MMLU,prehistory,10028,6,0.7761592864990234,6933
MMLU,prehistory,10028,7,1.0264685153961182,6677
MMLU,prehistory,10028,3,1.0506525039672852,6896
MMLU,prehistory,10029,7,0.8344693183898926,6704
MMLU,prehistory,10029,3,1.0065116882324219,6880
MMLU,prehistory,10030,8,0.5498130321502686,6973
MMLU,prehistory,10030,3,0.8801388740539551,7281
MMLU,prehistory,10030,7,0.891681432723999,7356
MMLU,prehistory,10031,2,0.5636975765228271,6789
MMLU,prehistory,10031,7,0.585564136505127,6798
MMLU,prehistory,10031,6,0.6322782039642334,6968
MMLU,prehistory,10031,3,0.673424243927002,6806
MMLU,prehistory,10031,0,0.7083032131195068,6961
MMLU,prehistory,10032,1,0.2920949459075928,7200
MMLU,prehistory,10032,9,0.3659653663635254,6606
MMLU,prehistory,10032,0,0.4933936595916748,6769
MMLU,prehistory,10032,8,0.5035233497619629,6650
MMLU,prehistory,10032,7,0.6136760711669922,6761
MMLU,prehistory,10032,6,0.681816577911377,6533
MMLU,prehistory,10032,3,0.7053320407867432,6756
MMLU,prehistory,10033,7,0.7587532997131348,7301
MMLU,prehistory,10034,7,0.7442934513092041,7332
MMLU,prehistory,10035,6,0.5868215560913086,6997
MMLU,prehistory,10035,3,0.6530091762542725,6804
MMLU,prehistory,10035,7,0.8471825122833252,6914
MMLU,prehistory,10036,3,0.43079686164855957,7393
MMLU,prehistory,10036,6,0.6491005420684814,7324
MMLU,prehistory,10036,7,0.7422707080841064,7914
MMLU,prehistory,10037,3,0.41786932945251465,6872
MMLU,prehistory,10037,7,0.6697983741760254,7013
MMLU,prehistory,10038,0,0.6855611801147461,7227
MMLU,prehistory,10038,7,0.9526042938232422,7211
MMLU,prehistory,10039,3,0.43476009368896484,7151
MMLU,prehistory,10039,7,1.0888173580169678,7349
MMLU,prehistory,10040,7,0.7588224411010742,7331
MMLU,prehistory,10041,3,0.41764354705810547,7047
MMLU,prehistory,10041,8,0.4753584861755371,7060
MMLU,prehistory,10041,2,0.6297917366027832,6765
MMLU,prehistory,10041,6,0.7220404148101807,7000
MMLU,prehistory,10041,7,0.7667138576507568,7299
MMLU,prehistory,10042,3,0.41452503204345703,6741
MMLU,prehistory,10042,7,0.5522933006286621,6846
MMLU,prehistory,10042,6,0.588942289352417,6870
MMLU,prehistory,10043,7,0.45912742614746094,7260
MMLU,prehistory,10044,7,0.4593944549560547,7049
MMLU,prehistory,10044,3,0.5359761714935303,6976
MMLU,prehistory,10045,3,0.7221720218658447,7177
MMLU,prehistory,10046,7,0.5210161209106445,6806
MMLU,prehistory,10046,3,0.7781858444213867,6888
MMLU,prehistory,10046,0,0.7866876125335693,7151
MMLU,prehistory,10047,7,0.4410829544067383,7156
MMLU,prehistory,10048,7,0.45308732986450195,6974
MMLU,prehistory,10049,7,0.6268188953399658,7278
MMLU,prehistory,10049,3,0.7707333564758301,7233
MMLU,prehistory,10049,2,0.878779411315918,7075
MMLU,prehistory,10050,3,0.6542055606842041,6859
MMLU,prehistory,10051,7,0.538576602935791,7493
MMLU,prehistory,10052,7,0.45281314849853516,7011
MMLU,prehistory,10052,3,0.4670267105102539,7047
MMLU,prehistory,10053,3,0.5153853893280029,7179
MMLU,prehistory,10053,7,0.5305657386779785,7334
MMLU,prehistory,10054,7,0.45970797538757324,7365
MMLU,prehistory,10054,3,0.6447668075561523,7248
MMLU,prehistory,10055,7,0.5911290645599365,7555
MMLU,prehistory,10055,3,0.8349082469940186,7393
MMLU,prehistory,10056,7,0.7107386589050293,7698
MMLU,prehistory,10057,7,0.8244564533233643,7779
MMLU,prehistory,10058,3,0.5376837253570557,7031
MMLU,prehistory,10058,7,0.8679628372192383,6991
MMLU,prehistory,10059,6,0.5256502628326416,7029
MMLU,prehistory,10059,3,0.6406435966491699,7035
MMLU,prehistory,10059,8,0.6419155597686768,6769
MMLU,prehistory,10059,7,1.3311936855316162,6862
MMLU,prehistory,10060,9,0.3523979187011719,6975
MMLU,prehistory,10060,6,0.5589237213134766,7138
MMLU,prehistory,10060,7,0.9362432956695557,7153
