benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,college_biology,752,4,0.437774658203125,7244
MMLU,college_biology,753,3,0.6354413032531738,7144
MMLU,college_biology,754,5,0.48269152641296387,6840
MMLU,college_biology,755,5,0.2925682067871094,6712
MMLU,college_biology,756,7,0.8070228099822998,7083
MMLU,college_biology,757,0,0.682896614074707,7170
MMLU,college_biology,758,4,0.3289017677307129,7098
MMLU,college_biology,759,6,0.36632370948791504,7149
MMLU,college_biology,760,3,0.37411952018737793,7055
MMLU,college_biology,761,2,0.7106747627258301,6921
MMLU,college_biology,762,7,0.6404950618743896,7414
MMLU,college_biology,763,5,0.3280298709869385,6780
MMLU,college_biology,764,7,0.7373778820037842,6972
MMLU,college_biology,765,8,0.5869545936584473,6767
MMLU,college_biology,766,2,0.4402444362640381,7130
MMLU,college_biology,767,8,0.3827707767486572,6626
MMLU,college_biology,768,6,0.39217329025268555,7180
MMLU,college_biology,769,4,0.45413875579833984,7141
MMLU,college_biology,770,3,0.38064050674438477,7134
MMLU,college_biology,771,1,0.22487115859985352,6817
MMLU,college_biology,772,7,0.7945704460144043,7235
MMLU,college_biology,773,3,0.4165494441986084,6917
MMLU,college_biology,774,7,0.9085495471954346,7172
MMLU,college_biology,775,9,0.38845300674438477,6779
MMLU,college_biology,776,9,0.28876233100891113,7259
MMLU,college_biology,777,9,0.2418527603149414,6953
MMLU,college_biology,778,3,0.3719441890716553,6946
MMLU,college_biology,779,3,0.3795762062072754,7243
MMLU,college_biology,780,5,0.3199045658111572,6830
MMLU,college_biology,781,0,0.5402438640594482,7148
MMLU,college_biology,782,3,0.44623613357543945,7189
MMLU,college_biology,783,0,0.5339727401733398,7031
MMLU,college_biology,784,5,0.3893904685974121,6979
MMLU,college_biology,785,4,0.4522678852081299,7025
MMLU,college_biology,786,6,0.333331823348999,7372
MMLU,college_biology,787,8,0.2993505001068115,6962
MMLU,college_biology,788,7,0.9858534336090088,6918
MMLU,college_biology,789,9,0.41022610664367676,7014
MMLU,college_biology,790,7,0.82489013671875,7007
MMLU,college_biology,791,1,0.2379755973815918,7160
MMLU,college_biology,792,4,0.45862531661987305,7039
MMLU,college_biology,793,9,0.3884236812591553,6961
MMLU,college_biology,794,5,0.4361257553100586,6548
MMLU,college_biology,795,4,0.43915557861328125,7066
MMLU,college_biology,796,8,0.3762931823730469,7124
MMLU,college_biology,797,8,0.3239116668701172,7037
MMLU,college_biology,798,3,0.41640663146972656,7343
MMLU,college_biology,799,6,0.34290313720703125,7015
MMLU,college_biology,800,1,0.2141268253326416,6804
MMLU,college_biology,801,3,0.5066111087799072,6974
MMLU,college_biology,802,8,0.3870124816894531,7194
MMLU,college_biology,803,6,0.39244580268859863,7345
MMLU,college_biology,804,5,0.33395814895629883,6754
MMLU,college_biology,805,1,0.26394152641296387,7169
MMLU,college_biology,806,8,0.31382107734680176,7189
MMLU,college_biology,807,8,0.3184778690338135,6773
MMLU,college_biology,808,9,0.3208122253417969,7108
MMLU,college_biology,809,4,0.43799734115600586,7325
MMLU,college_biology,810,9,0.38999199867248535,6935
MMLU,college_biology,811,4,0.43428707122802734,7084
MMLU,college_biology,812,2,0.5649607181549072,7079
MMLU,college_biology,813,8,0.3186469078063965,7162
MMLU,college_biology,814,5,0.3987233638763428,6922
MMLU,college_biology,815,9,0.32695603370666504,7064
MMLU,college_biology,816,6,0.3943943977355957,7316
MMLU,college_biology,817,6,0.40070223808288574,7414
MMLU,college_biology,818,8,0.25659823417663574,6785
MMLU,college_biology,819,8,0.2474658489227295,7077
MMLU,college_biology,820,7,0.8116748332977295,7129
MMLU,college_biology,821,1,0.3796803951263428,6777
MMLU,college_biology,822,0,0.5528304576873779,7139
MMLU,college_biology,823,7,0.8325216770172119,7317
MMLU,college_biology,824,4,0.44872283935546875,7039
MMLU,college_biology,825,0,0.5515353679656982,7164
MMLU,college_biology,826,2,0.5749664306640625,6816
MMLU,college_biology,827,1,0.28186774253845215,7075
MMLU,college_biology,828,6,0.3350706100463867,7279
MMLU,college_biology,829,1,0.34323620796203613,6988
MMLU,college_biology,830,6,0.3680737018585205,7481
MMLU,college_biology,831,3,0.6435587406158447,6755
MMLU,college_biology,832,5,0.35662841796875,6873
MMLU,college_biology,833,4,0.5089514255523682,7219
MMLU,college_biology,834,1,0.3044908046722412,6639
MMLU,college_biology,835,3,0.5951831340789795,6982
MMLU,college_biology,836,9,0.37073493003845215,6957
MMLU,college_biology,837,6,0.3629913330078125,7294
MMLU,college_biology,838,2,0.5391554832458496,6636
MMLU,college_biology,839,4,0.45471811294555664,7065
MMLU,college_biology,840,1,0.28064846992492676,6936
MMLU,college_biology,841,3,0.7240262031555176,6924
MMLU,college_biology,842,5,0.47541284561157227,6962
MMLU,college_biology,843,0,0.5835015773773193,7269
MMLU,college_biology,844,3,0.5961329936981201,7194
MMLU,college_biology,845,9,0.34485936164855957,7208
MMLU,college_biology,846,6,0.37862563133239746,7228
MMLU,college_biology,847,2,0.5365550518035889,7045
MMLU,college_biology,848,2,0.6351289749145508,6679
MMLU,college_biology,849,8,0.23383045196533203,6902
MMLU,college_biology,850,2,0.5893959999084473,6715
MMLU,college_biology,851,8,0.22754430770874023,7142
MMLU,college_biology,852,2,0.591519832611084,6816
MMLU,college_biology,853,1,0.27176427841186523,6987
MMLU,college_biology,854,3,0.6814000606536865,6783
MMLU,college_biology,855,8,0.23935341835021973,6867
MMLU,college_biology,856,6,0.3991401195526123,7149
MMLU,college_biology,857,6,0.5462946891784668,7057
MMLU,college_biology,858,5,0.2838249206542969,6945
MMLU,college_biology,859,5,0.24688458442687988,6810
MMLU,college_biology,860,0,0.6326842308044434,6964
MMLU,college_biology,861,4,0.4374411106109619,7135
MMLU,college_biology,862,7,0.728618860244751,6866
MMLU,college_biology,863,5,0.24698305130004883,7057
MMLU,college_biology,864,3,0.7213354110717773,7284
MMLU,college_biology,865,0,0.5521678924560547,7112
MMLU,college_biology,866,8,0.226151704788208,6469
MMLU,college_biology,867,6,0.4711029529571533,7543
MMLU,college_biology,868,7,0.5821442604064941,6949
MMLU,college_biology,869,7,0.5949265956878662,7648
MMLU,college_biology,870,6,0.8009359836578369,7435
MMLU,college_biology,871,7,0.5364747047424316,7825
MMLU,college_biology,872,0,0.653247594833374,6929
MMLU,college_biology,873,4,0.3788316249847412,7081
MMLU,college_biology,874,8,0.2294483184814453,6981
MMLU,college_biology,875,5,0.25388097763061523,6950
MMLU,college_biology,876,5,0.4108753204345703,6624
MMLU,college_biology,877,0,0.5923662185668945,7113
MMLU,college_biology,878,5,0.703235387802124,6777
MMLU,college_biology,879,3,0.5722336769104004,7468
MMLU,college_biology,880,8,0.23785853385925293,6649
MMLU,college_biology,881,4,0.30465173721313477,7444
MMLU,college_biology,882,4,0.2995152473449707,6985
MMLU,college_biology,883,7,1.5647611618041992,7050
MMLU,college_biology,884,2,0.580833911895752,6774
MMLU,college_biology,885,1,0.338240385055542,7201
MMLU,college_biology,886,8,0.23354840278625488,7010
MMLU,college_biology,887,0,0.9049720764160156,7120
MMLU,college_biology,888,3,0.363330602645874,6761
MMLU,college_biology,889,5,0.4154012203216553,6845
MMLU,college_biology,890,5,0.32489824295043945,6887
MMLU,college_biology,891,0,0.39660096168518066,6881
MMLU,college_biology,892,9,0.5829522609710693,6952
MMLU,college_biology,893,6,0.6376590728759766,7222
MMLU,college_biology,894,4,0.40418410301208496,7211
MMLU,college_biology,895,5,0.3889129161834717,6753
