benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,high_school_microeconomics,4498,0,0.9382889270782471,7097
MMLU,high_school_microeconomics,4499,0,0.5460186004638672,7084
MMLU,high_school_microeconomics,4500,3,0.5882229804992676,6877
MMLU,high_school_microeconomics,4501,5,0.3016681671142578,6816
MMLU,high_school_microeconomics,4502,3,0.41059231758117676,7215
MMLU,high_school_microeconomics,4503,6,0.5779435634613037,7263
MMLU,high_school_microeconomics,4504,1,0.3575878143310547,6995
MMLU,high_school_microeconomics,4505,1,0.2897641658782959,6961
MMLU,high_school_microeconomics,4506,3,0.5499351024627686,7125
MMLU,high_school_microeconomics,4507,6,0.33066463470458984,7132
MMLU,high_school_microeconomics,4508,4,0.564810037612915,7052
MMLU,high_school_microeconomics,4509,4,0.3313274383544922,7176
MMLU,high_school_microeconomics,4510,2,0.47780942916870117,6720
MMLU,high_school_microeconomics,4511,3,0.5093247890472412,6761
MMLU,high_school_microeconomics,4512,6,0.34970736503601074,7104
MMLU,high_school_microeconomics,4513,8,0.2437896728515625,6547
MMLU,high_school_microeconomics,4514,4,0.312028169631958,7001
MMLU,high_school_microeconomics,4515,6,0.3393895626068115,7092
MMLU,high_school_microeconomics,4516,9,0.36100077629089355,7313
MMLU,high_school_microeconomics,4517,4,0.3188741207122803,7057
MMLU,high_school_microeconomics,4518,7,0.48172521591186523,7057
MMLU,high_school_microeconomics,4519,9,0.22881603240966797,7108
MMLU,high_school_microeconomics,4520,8,0.23079228401184082,6928
MMLU,high_school_microeconomics,4521,9,0.23806977272033691,7026
MMLU,high_school_microeconomics,4522,5,0.2664973735809326,6956
MMLU,high_school_microeconomics,4523,6,0.3681974411010742,7372
MMLU,high_school_microeconomics,4524,2,0.4214768409729004,6793
MMLU,high_school_microeconomics,4525,6,0.5191595554351807,7258
MMLU,high_school_microeconomics,4526,3,0.5287790298461914,7112
MMLU,high_school_microeconomics,4527,7,0.455472469329834,7358
MMLU,high_school_microeconomics,4528,0,0.60614013671875,7220
MMLU,high_school_microeconomics,4529,8,0.25490736961364746,7041
MMLU,high_school_microeconomics,4530,6,0.5994763374328613,7054
MMLU,high_school_microeconomics,4531,5,0.4197878837585449,7132
MMLU,high_school_microeconomics,4532,1,0.39514970779418945,6791
MMLU,high_school_microeconomics,4533,6,0.5038414001464844,7286
MMLU,high_school_microeconomics,4534,3,0.5332984924316406,7141
MMLU,high_school_microeconomics,4535,3,0.5385615825653076,7195
MMLU,high_school_microeconomics,4536,6,0.49175095558166504,7263
MMLU,high_school_microeconomics,4537,6,0.5150265693664551,7211
MMLU,high_school_microeconomics,4538,6,0.5355749130249023,7413
MMLU,high_school_microeconomics,4539,4,0.3262465000152588,7038
MMLU,high_school_microeconomics,4540,3,0.5362193584442139,7346
MMLU,high_school_microeconomics,4541,6,0.47904253005981445,7329
MMLU,high_school_microeconomics,4542,4,0.31096935272216797,6882
MMLU,high_school_microeconomics,4543,4,0.3453528881072998,7015
MMLU,high_school_microeconomics,4544,4,0.3099544048309326,7292
MMLU,high_school_microeconomics,4545,1,0.3713846206665039,7209
MMLU,high_school_microeconomics,4546,3,0.7427201271057129,7265
MMLU,high_school_microeconomics,4547,1,0.3716888427734375,6768
MMLU,high_school_microeconomics,4548,8,0.28997039794921875,6626
MMLU,high_school_microeconomics,4549,1,0.35382771492004395,6741
MMLU,high_school_microeconomics,4550,7,0.45249295234680176,7054
MMLU,high_school_microeconomics,4551,8,0.31885719299316406,7146
MMLU,high_school_microeconomics,4552,3,0.6005315780639648,6711
MMLU,high_school_microeconomics,4553,6,0.48502492904663086,7017
MMLU,high_school_microeconomics,4554,1,0.312699556350708,6971
MMLU,high_school_microeconomics,4555,8,0.3733952045440674,6820
MMLU,high_school_microeconomics,4556,8,0.3865516185760498,6936
MMLU,high_school_microeconomics,4557,9,0.30068111419677734,7015
MMLU,high_school_microeconomics,4558,6,0.49016404151916504,7323
MMLU,high_school_microeconomics,4559,8,0.34998631477355957,7016
MMLU,high_school_microeconomics,4560,1,0.3057525157928467,6953
MMLU,high_school_microeconomics,4561,5,0.3942558765411377,6920
MMLU,high_school_microeconomics,4562,7,0.4659397602081299,6935
MMLU,high_school_microeconomics,4563,1,0.3258352279663086,6954
MMLU,high_school_microeconomics,4564,8,0.31115126609802246,6655
MMLU,high_school_microeconomics,4565,9,0.32497477531433105,7039
MMLU,high_school_microeconomics,4566,2,0.5749177932739258,6556
MMLU,high_school_microeconomics,4567,5,0.3401055335998535,7230
MMLU,high_school_microeconomics,4568,3,0.613654613494873,6988
MMLU,high_school_microeconomics,4569,2,0.6036839485168457,7190
MMLU,high_school_microeconomics,4570,2,0.5945305824279785,6987
MMLU,high_school_microeconomics,4571,1,0.4110598564147949,6849
