benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,international_law,6443,2,0.5660488605499268,7213
MMLU,international_law,6444,8,0.39716172218322754,6965
MMLU,international_law,6445,5,0.32802629470825195,6758
MMLU,international_law,6446,1,0.30639147758483887,7164
MMLU,international_law,6447,6,0.6770186424255371,6954
MMLU,international_law,6448,1,0.35993123054504395,7625
MMLU,international_law,6449,0,0.7466557025909424,7172
MMLU,international_law,6450,7,0.5390872955322266,7207
MMLU,international_law,6451,9,0.2423841953277588,7372
MMLU,international_law,6452,3,0.7198188304901123,7574
MMLU,international_law,6453,9,0.23201823234558105,7236
MMLU,international_law,6454,4,0.5221433639526367,7368
MMLU,international_law,6455,5,0.2873997688293457,6932
MMLU,international_law,6456,5,0.3161652088165283,6825
MMLU,international_law,6457,3,0.5037710666656494,7300
MMLU,international_law,6458,7,0.5272600650787354,7285
MMLU,international_law,6459,2,0.5452632904052734,6639
MMLU,international_law,6460,3,0.6312775611877441,7270
MMLU,international_law,6461,9,0.2397153377532959,6966
MMLU,international_law,6462,3,0.4962272644042969,7157
MMLU,international_law,6463,2,0.5137474536895752,6780
MMLU,international_law,6464,9,0.24506521224975586,6896
MMLU,international_law,6465,8,0.3355574607849121,6943
MMLU,international_law,6466,0,0.45299220085144043,7360
MMLU,international_law,6467,9,0.2402348518371582,7123
MMLU,international_law,6468,0,0.40501832962036133,7334
MMLU,international_law,6469,0,0.4423673152923584,7516
MMLU,international_law,6470,3,0.5672087669372559,7180
MMLU,international_law,6471,8,0.3829319477081299,7098
MMLU,international_law,6472,5,0.317821741104126,6906
MMLU,international_law,6473,6,0.5185699462890625,6992
MMLU,international_law,6474,0,0.7988348007202148,7337
MMLU,international_law,6475,4,0.33362293243408203,7178
MMLU,international_law,6476,7,0.7982177734375,7149
MMLU,international_law,6477,9,0.3198111057281494,7145
MMLU,international_law,6478,4,0.3359036445617676,7253
MMLU,international_law,6479,9,0.3858797550201416,7171
MMLU,international_law,6480,0,0.5407402515411377,7236
MMLU,international_law,6481,6,0.47731757164001465,7237
MMLU,international_law,6482,3,0.5093710422515869,7064
MMLU,international_law,6483,1,0.3015775680541992,7557
MMLU,international_law,6484,3,0.5269887447357178,7575
MMLU,international_law,6485,2,0.5958256721496582,6774
MMLU,international_law,6486,7,0.6472606658935547,7190
MMLU,international_law,6487,6,0.4738037586212158,7040
MMLU,international_law,6488,1,0.35126280784606934,7304
MMLU,international_law,6489,4,0.347423791885376,7133
MMLU,international_law,6490,1,0.29845380783081055,6948
MMLU,international_law,6491,3,0.5520617961883545,7285
