benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,miscellaneous,7384,9,0.6567127704620361,7351
MMLU,miscellaneous,7385,8,0.4210317134857178,6976
MMLU,miscellaneous,7386,1,0.24714016914367676,6885
MMLU,miscellaneous,7387,2,0.667454719543457,6832
MMLU,miscellaneous,7388,2,0.5284898281097412,7050
MMLU,miscellaneous,7389,7,0.44528794288635254,7062
MMLU,miscellaneous,7390,0,0.4281792640686035,7072
MMLU,miscellaneous,7391,0,0.47287416458129883,7121
MMLU,miscellaneous,7392,2,0.7510464191436768,7056
MMLU,miscellaneous,7393,7,0.4521777629852295,7404
MMLU,miscellaneous,7394,2,0.7820000648498535,7105
MMLU,miscellaneous,7395,4,0.4759535789489746,7057
MMLU,miscellaneous,7396,1,0.2768223285675049,6897
MMLU,miscellaneous,7397,5,0.29082202911376953,6941
MMLU,miscellaneous,7398,9,0.32718825340270996,7027
MMLU,miscellaneous,7399,4,0.4625670909881592,7018
MMLU,miscellaneous,7400,0,0.4506399631500244,7063
MMLU,miscellaneous,7401,1,0.2621932029724121,6875
MMLU,miscellaneous,7402,4,0.4467003345489502,7031
MMLU,miscellaneous,7403,8,0.36176466941833496,6780
MMLU,miscellaneous,7404,6,0.3730642795562744,7072
MMLU,miscellaneous,7405,0,0.45381641387939453,7171
MMLU,miscellaneous,7406,2,0.5989832878112793,6777
MMLU,miscellaneous,7407,0,0.4210526943206787,6962
MMLU,miscellaneous,7408,9,0.3131721019744873,6965
MMLU,miscellaneous,7409,2,0.6745316982269287,6828
MMLU,miscellaneous,7410,6,0.34590816497802734,6967
MMLU,miscellaneous,7411,6,0.4335494041442871,7009
MMLU,miscellaneous,7412,5,0.26998209953308105,6539
MMLU,miscellaneous,7413,3,0.4440310001373291,6838
MMLU,miscellaneous,7414,7,0.5597708225250244,6991
MMLU,miscellaneous,7415,5,0.2707326412200928,6731
MMLU,miscellaneous,7416,6,0.3368206024169922,7378
MMLU,miscellaneous,7417,0,0.4101829528808594,6992
MMLU,miscellaneous,7418,0,0.4383406639099121,7205
MMLU,miscellaneous,7419,8,0.2958953380584717,7047
MMLU,miscellaneous,7420,3,0.3990192413330078,6963
MMLU,miscellaneous,7421,7,0.5897421836853027,6326
MMLU,miscellaneous,7422,3,0.5716240406036377,7207
MMLU,miscellaneous,7423,5,0.2815361022949219,6944
MMLU,miscellaneous,7424,7,0.5894336700439453,7025
MMLU,miscellaneous,7425,0,0.41617321968078613,7103
MMLU,miscellaneous,7426,8,0.3691420555114746,6674
MMLU,miscellaneous,7427,6,0.34444737434387207,6862
MMLU,miscellaneous,7428,8,0.2973923683166504,7070
MMLU,miscellaneous,7429,6,0.3700134754180908,7380
MMLU,miscellaneous,7430,9,0.38258981704711914,7101
MMLU,miscellaneous,7431,8,0.3786306381225586,7061
MMLU,miscellaneous,7432,7,0.6595077514648438,6873
MMLU,miscellaneous,7433,0,0.6107821464538574,6859
MMLU,miscellaneous,7434,5,0.39531421661376953,6846
MMLU,miscellaneous,7435,9,0.3154139518737793,6888
MMLU,miscellaneous,7436,1,0.2762925624847412,7635
MMLU,miscellaneous,7437,5,0.3923802375793457,6710
MMLU,miscellaneous,7438,7,0.5724642276763916,6984
MMLU,miscellaneous,7439,2,0.5362915992736816,6935
MMLU,miscellaneous,7440,0,0.6796298027038574,6745
MMLU,miscellaneous,7441,2,0.6442465782165527,6753
MMLU,miscellaneous,7442,5,0.3627786636352539,6811
MMLU,miscellaneous,7443,2,0.6519608497619629,6991
MMLU,miscellaneous,7444,3,0.5119287967681885,6770
MMLU,miscellaneous,7445,4,0.39331626892089844,7255
MMLU,miscellaneous,7446,0,0.6309738159179688,6891
MMLU,miscellaneous,7447,6,0.32796263694763184,7247
MMLU,miscellaneous,7448,6,0.33401966094970703,6903
MMLU,miscellaneous,7449,0,0.5430030822753906,7212
MMLU,miscellaneous,7450,1,0.2931528091430664,6954
MMLU,miscellaneous,7451,4,0.45322632789611816,6581
MMLU,miscellaneous,7452,3,0.5149703025817871,7232
MMLU,miscellaneous,7453,0,0.6172587871551514,7159
MMLU,miscellaneous,7454,8,0.3977220058441162,7065
MMLU,miscellaneous,7455,2,0.7817792892456055,6735
MMLU,miscellaneous,7456,2,0.6300339698791504,6764
MMLU,miscellaneous,7457,7,0.6438863277435303,6821
MMLU,miscellaneous,7458,3,0.668341875076294,6874
MMLU,miscellaneous,7459,9,0.3887307643890381,7215
MMLU,miscellaneous,7460,6,0.38230466842651367,6809
MMLU,miscellaneous,7461,5,0.40510988235473633,6556
MMLU,miscellaneous,7462,1,0.36650609970092773,6892
MMLU,miscellaneous,7463,1,0.29156064987182617,6930
MMLU,miscellaneous,7464,3,0.5015640258789062,6879
MMLU,miscellaneous,7465,5,0.40998363494873047,6716
MMLU,miscellaneous,7466,7,0.8315746784210205,7002
MMLU,miscellaneous,7467,8,0.32024574279785156,6615
MMLU,miscellaneous,7468,3,0.579357385635376,6825
MMLU,miscellaneous,7469,7,0.7453699111938477,6902
MMLU,miscellaneous,7470,4,0.45696425437927246,7136
MMLU,miscellaneous,7471,8,0.38829994201660156,6746
MMLU,miscellaneous,7472,9,0.3019845485687256,7032
