benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,prehistory,10025,4,0.44269251823425293,6865
MMLU,prehistory,10026,0,0.6883621215820312,6864
MMLU,prehistory,10027,8,0.2782773971557617,7616
MMLU,prehistory,10028,2,0.6473798751831055,6941
MMLU,prehistory,10029,7,0.46277451515197754,6705
MMLU,prehistory,10030,3,0.3863086700439453,7281
MMLU,prehistory,10031,2,0.4116024971008301,6789
MMLU,prehistory,10032,6,0.41081786155700684,6535
MMLU,prehistory,10033,5,0.27425074577331543,6894
MMLU,prehistory,10034,9,0.4342212677001953,6989
MMLU,prehistory,10035,8,0.3644065856933594,6798
MMLU,prehistory,10036,8,0.29741811752319336,7222
MMLU,prehistory,10037,1,0.35272765159606934,6911
MMLU,prehistory,10038,2,0.4488246440887451,7027
MMLU,prehistory,10039,5,0.2478787899017334,6977
MMLU,prehistory,10040,2,0.43740057945251465,6731
MMLU,prehistory,10041,6,0.45728421211242676,7001
MMLU,prehistory,10042,0,0.6068651676177979,6861
MMLU,prehistory,10043,0,0.8413901329040527,7194
MMLU,prehistory,10044,3,0.4185020923614502,6976
MMLU,prehistory,10045,0,0.8124313354492188,6989
MMLU,prehistory,10046,5,0.2513246536254883,6933
MMLU,prehistory,10047,8,0.3004894256591797,6893
MMLU,prehistory,10048,0,0.8882448673248291,6999
MMLU,prehistory,10049,8,0.2998945713043213,6944
MMLU,prehistory,10050,7,0.4626302719116211,7113
MMLU,prehistory,10051,4,0.34178829193115234,7280
MMLU,prehistory,10052,2,0.4203181266784668,6983
MMLU,prehistory,10053,0,0.8659138679504395,7170
MMLU,prehistory,10054,2,0.3878769874572754,6980
MMLU,prehistory,10055,6,0.5079350471496582,7193
MMLU,prehistory,10056,6,0.47645020484924316,7377
MMLU,prehistory,10057,9,0.3364143371582031,7240
MMLU,prehistory,10058,6,0.4842798709869385,6995
MMLU,prehistory,10059,6,0.7537021636962891,7029
MMLU,prehistory,10060,1,0.2931370735168457,6867
MMLU,prehistory,10061,4,0.37076592445373535,6845
MMLU,prehistory,10062,4,0.34531712532043457,7118
MMLU,prehistory,10063,8,0.23056554794311523,6777
MMLU,prehistory,10064,3,0.3693420886993408,6846
MMLU,prehistory,10065,2,0.408083438873291,7059
MMLU,prehistory,10066,5,0.24728727340698242,6865
MMLU,prehistory,10067,2,0.47241735458374023,6859
MMLU,prehistory,10068,5,0.24472475051879883,7075
MMLU,prehistory,10069,1,0.28068017959594727,7007
MMLU,prehistory,10070,5,0.2610628604888916,6806
MMLU,prehistory,10071,2,0.4947998523712158,6908
MMLU,prehistory,10072,0,0.8430976867675781,6679
MMLU,prehistory,10073,1,0.4014158248901367,7091
MMLU,prehistory,10074,5,0.27845287322998047,6992
MMLU,prehistory,10075,1,0.33855390548706055,6850
MMLU,prehistory,10076,0,0.8227674961090088,7322
MMLU,prehistory,10077,7,0.934894323348999,7403
MMLU,prehistory,10078,9,0.49709415435791016,6820
MMLU,prehistory,10079,5,0.32282543182373047,6896
MMLU,prehistory,10080,0,0.7354450225830078,6883
MMLU,prehistory,10081,4,0.466402530670166,6913
MMLU,prehistory,10082,1,0.37508583068847656,7082
MMLU,prehistory,10083,7,0.6680154800415039,7452
