benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,professional_psychology,12437,8,0.38538265228271484,7150
MMLU,professional_psychology,12438,7,0.6040780544281006,7135
MMLU,professional_psychology,12439,7,0.5408146381378174,7318
MMLU,professional_psychology,12440,5,0.4504053592681885,6919
MMLU,professional_psychology,12441,1,0.29120469093322754,6985
MMLU,professional_psychology,12442,3,0.6225812435150146,7316
MMLU,professional_psychology,12443,1,0.24483132362365723,6813
MMLU,professional_psychology,12444,7,0.6466424465179443,7233
MMLU,professional_psychology,12445,3,0.43025851249694824,7182
MMLU,professional_psychology,12446,5,0.38121509552001953,7207
MMLU,professional_psychology,12447,9,0.3708183765411377,7462
MMLU,professional_psychology,12448,7,0.5936102867126465,7040
MMLU,professional_psychology,12449,0,0.6512830257415771,7370
MMLU,professional_psychology,12450,1,0.3253946304321289,7051
MMLU,professional_psychology,12451,4,0.5113203525543213,7145
MMLU,professional_psychology,12452,7,0.6642849445343018,7430
MMLU,professional_psychology,12453,3,0.5013277530670166,6748
MMLU,professional_psychology,12454,7,0.6501917839050293,7285
MMLU,professional_psychology,12455,3,0.5641403198242188,7344
MMLU,professional_psychology,12456,5,0.3113584518432617,6930
MMLU,professional_psychology,12457,4,0.3815610408782959,7504
MMLU,professional_psychology,12458,3,0.5130634307861328,7213
MMLU,professional_psychology,12459,8,0.3051753044128418,6826
MMLU,professional_psychology,12460,0,0.6412012577056885,7341
MMLU,professional_psychology,12461,0,0.7901198863983154,7416
MMLU,professional_psychology,12462,9,0.31209564208984375,7388
MMLU,professional_psychology,12463,5,0.3668653964996338,6910
MMLU,professional_psychology,12464,0,0.715742826461792,6818
MMLU,professional_psychology,12465,4,0.4381392002105713,7176
MMLU,professional_psychology,12466,2,0.6674814224243164,6800
MMLU,professional_psychology,12467,4,0.37097668647766113,7017
MMLU,professional_psychology,12468,2,0.4723396301269531,7388
MMLU,professional_psychology,12469,6,0.47426390647888184,7471
MMLU,professional_psychology,12470,9,0.2976527214050293,7016
MMLU,professional_psychology,12471,1,0.2842600345611572,6960
MMLU,professional_psychology,12472,8,0.37064146995544434,7405
MMLU,professional_psychology,12473,2,0.5343029499053955,7088
MMLU,professional_psychology,12474,6,0.4093320369720459,7187
MMLU,professional_psychology,12475,0,0.7913892269134521,7570
MMLU,professional_psychology,12476,5,0.3121473789215088,6959
MMLU,professional_psychology,12477,7,1.1541986465454102,7214
MMLU,professional_psychology,12478,8,0.2994699478149414,7062
MMLU,professional_psychology,12479,2,0.5339295864105225,7319
MMLU,professional_psychology,12480,3,0.4974679946899414,7070
MMLU,professional_psychology,12481,5,0.36962342262268066,6802
MMLU,professional_psychology,12482,9,0.29479026794433594,7255
MMLU,professional_psychology,12483,2,0.5354371070861816,7536
MMLU,professional_psychology,12484,9,0.3361802101135254,7027
MMLU,professional_psychology,12485,7,3.960054397583008,7377
MMLU,professional_psychology,12486,3,0.4991605281829834,7301
MMLU,professional_psychology,12487,4,0.45504212379455566,7220
MMLU,professional_psychology,12488,6,0.460953950881958,7538
MMLU,professional_psychology,12489,5,0.31461596488952637,7144
MMLU,professional_psychology,12490,9,0.3211171627044678,7308
MMLU,professional_psychology,12491,2,0.6044454574584961,7039
MMLU,professional_psychology,12492,9,0.3046114444732666,7214
MMLU,professional_psychology,12493,0,0.7876279354095459,7430
MMLU,professional_psychology,12494,1,0.32978034019470215,6770
MMLU,professional_psychology,12495,1,0.2997431755065918,6916
MMLU,professional_psychology,12496,5,0.36640429496765137,6821
MMLU,professional_psychology,12497,2,0.5272746086120605,7199
MMLU,professional_psychology,12498,3,0.49358558654785156,7157
MMLU,professional_psychology,12499,0,0.4899935722351074,7283
MMLU,professional_psychology,12500,3,0.4941394329071045,7184
MMLU,professional_psychology,12501,8,0.3361318111419678,6747
MMLU,professional_psychology,12502,3,0.5568115711212158,7359
MMLU,professional_psychology,12503,5,0.4112370014190674,6703
MMLU,professional_psychology,12504,6,0.41893577575683594,7506
MMLU,professional_psychology,12505,8,0.316821813583374,6864
MMLU,professional_psychology,12506,5,0.29099321365356445,6912
MMLU,professional_psychology,12507,9,0.29387903213500977,6850
MMLU,professional_psychology,12508,3,0.546389102935791,7078
MMLU,professional_psychology,12509,8,0.2952845096588135,7082
MMLU,professional_psychology,12510,9,0.357532262802124,7188
MMLU,professional_psychology,12511,9,0.2912416458129883,7212
MMLU,professional_psychology,12512,6,0.4685525894165039,7316
MMLU,professional_psychology,12513,3,0.3562202453613281,7183
MMLU,professional_psychology,12514,7,0.4202158451080322,6963
MMLU,professional_psychology,12515,4,0.4375803470611572,7394
MMLU,professional_psychology,12516,9,0.35506296157836914,6996
MMLU,professional_psychology,12517,4,0.3743743896484375,7318
MMLU,professional_psychology,12518,1,0.276660680770874,7266
MMLU,professional_psychology,12519,4,0.43764400482177734,7226
MMLU,professional_psychology,12520,3,0.35385560989379883,7405
MMLU,professional_psychology,12521,4,0.4353189468383789,7101
MMLU,professional_psychology,12522,9,0.3675417900085449,7307
MMLU,professional_psychology,12523,7,0.4180483818054199,7397
MMLU,professional_psychology,12524,5,0.24362683296203613,7035
MMLU,professional_psychology,12525,4,0.5628931522369385,7162
MMLU,professional_psychology,12526,6,0.5365705490112305,7577
MMLU,professional_psychology,12527,2,0.528541088104248,6906
MMLU,professional_psychology,12528,8,0.3575458526611328,6766
MMLU,professional_psychology,12529,6,0.39698290824890137,7460
MMLU,professional_psychology,12530,0,0.48773980140686035,7333
MMLU,professional_psychology,12531,7,0.42249369621276855,7593
MMLU,professional_psychology,12532,3,0.3574357032775879,7185
MMLU,professional_psychology,12533,8,0.2922983169555664,7177
MMLU,professional_psychology,12534,9,0.2551686763763428,7081
MMLU,professional_psychology,12535,5,0.24355173110961914,6539
MMLU,professional_psychology,12536,5,0.2384653091430664,7096
MMLU,professional_psychology,12537,7,0.5673301219940186,7067
MMLU,professional_psychology,12538,2,0.5389046669006348,6846
MMLU,professional_psychology,12539,7,0.558906078338623,7389
MMLU,professional_psychology,12540,5,0.2379465103149414,7045
MMLU,professional_psychology,12541,0,0.48923540115356445,7212
MMLU,professional_psychology,12542,0,0.49550676345825195,7541
MMLU,professional_psychology,12543,9,0.22240900993347168,7015
MMLU,professional_psychology,12544,8,0.36179518699645996,7285
MMLU,professional_psychology,12545,1,0.29706406593322754,6998
MMLU,professional_psychology,12546,1,0.3201014995574951,7224
MMLU,professional_psychology,12547,0,0.7869319915771484,7490
MMLU,professional_psychology,12548,8,0.3682534694671631,7108
MMLU,professional_psychology,12549,4,0.3883321285247803,7651
MMLU,professional_psychology,12550,1,0.3505070209503174,7167
MMLU,professional_psychology,12551,3,0.5797221660614014,7131
MMLU,professional_psychology,12552,0,0.6466491222381592,7245
MMLU,professional_psychology,12553,2,0.6131877899169922,7106
MMLU,professional_psychology,12554,1,0.27539825439453125,7272
MMLU,professional_psychology,12555,6,0.46446704864501953,7533
MMLU,professional_psychology,12556,1,0.3507072925567627,7133
MMLU,professional_psychology,12557,6,0.46288394927978516,7426
MMLU,professional_psychology,12558,0,0.6535420417785645,7132
MMLU,professional_psychology,12559,8,0.24618768692016602,7008
MMLU,professional_psychology,12560,2,0.5387568473815918,7145
MMLU,professional_psychology,12561,7,0.5596117973327637,6905
MMLU,professional_psychology,12562,9,0.22666215896606445,7438
MMLU,professional_psychology,12563,6,0.4562971591949463,7452
MMLU,professional_psychology,12564,3,0.49044203758239746,7370
MMLU,professional_psychology,12565,5,0.23732733726501465,6981
MMLU,professional_psychology,12566,1,0.222381591796875,7230
MMLU,professional_psychology,12567,3,0.48760128021240234,7049
MMLU,professional_psychology,12568,3,0.48972392082214355,7117
MMLU,professional_psychology,12569,6,0.46237659454345703,7337
MMLU,professional_psychology,12570,9,0.22585439682006836,7470
MMLU,professional_psychology,12571,5,0.2376415729522705,7105
MMLU,professional_psychology,12572,1,0.21119284629821777,7098
MMLU,professional_psychology,12573,1,0.2081587314605713,7006
MMLU,professional_psychology,12574,7,0.8213410377502441,7545
MMLU,professional_psychology,12575,5,0.24243807792663574,6724
MMLU,professional_psychology,12576,0,0.6411459445953369,7247
MMLU,professional_psychology,12577,1,0.21442389488220215,7003
MMLU,professional_psychology,12578,7,0.5650897026062012,7545
MMLU,professional_psychology,12579,2,0.40584611892700195,7165
MMLU,professional_psychology,12580,4,0.3053715229034424,7387
MMLU,professional_psychology,12581,0,0.9064264297485352,7640
MMLU,professional_psychology,12582,3,0.490433931350708,7183
MMLU,professional_psychology,12583,9,0.2263484001159668,7666
MMLU,professional_psychology,12584,0,0.6171016693115234,7385
MMLU,professional_psychology,12585,5,0.24303889274597168,6900
MMLU,professional_psychology,12586,8,0.22407770156860352,6968
MMLU,professional_psychology,12587,0,0.609112024307251,7353
MMLU,professional_psychology,12588,4,0.3007204532623291,7334
MMLU,professional_psychology,12589,0,0.5572340488433838,7544
MMLU,professional_psychology,12590,3,0.503507137298584,7002
MMLU,professional_psychology,12591,3,0.4713718891143799,7233
MMLU,professional_psychology,12592,1,0.2607393264770508,6755
MMLU,professional_psychology,12593,0,0.6128401756286621,7303
MMLU,professional_psychology,12594,9,0.24485421180725098,6876
MMLU,professional_psychology,12595,3,0.4496481418609619,7214
